model,year,transmission,mileage,fuelType,tax,mpg,engineSize
 i3,2015,Automatic,29465,Electric,0,470.8,1
 X3,2018,Automatic,13034,Diesel,145,54.3,2
 1 Series,2017,Automatic,13905,Petrol,145,39.8,3
 3 Series,2014,Manual,47701,Diesel,145,55.4,2
 1 Series,2015,Manual,62538,Petrol,30,56.5,1.5
 4 Series,2018,Automatic,15814,Petrol,145,48.7,2
 X1,2019,Automatic,7288,Petrol,145,39.8,2
 Z4,2020,Automatic,1784,Petrol,150,33.2,3
 2 Series,2015,Manual,29400,Diesel,20,68.9,2
 3 Series,2019,Automatic,2993,Diesel,150,47.9,3
 1 Series,2018,Automatic,11885,Petrol,150,36.7,2
 X1,2020,Manual,321,Diesel,145,50.4,2
 3 Series,2020,Automatic,11,Petrol,145,34.9,3
 i8,2015,Automatic,43323,Hybrid,0,134.5,1.5
 3 Series,2014,Automatic,75083,Diesel,20,68.9,2
 3 Series,2015,Manual,34533,Diesel,125,60.1,2
 3 Series,2016,Automatic,84878,Diesel,0,74.3,2
 3 Series,2015,Automatic,47741,Diesel,200,49.6,3
 6 Series,2015,Automatic,62953,Diesel,160,51.4,3
 3 Series,2016,Automatic,40421,Diesel,160,51.4,3
 2 Series,2019,Automatic,2426,Diesel,145,47.1,2
 3 Series,2016,Manual,21854,Petrol,145,48.7,2
 2 Series,2018,Automatic,19234,Diesel,145,47.1,2
 X3,2016,Automatic,35121,Diesel,145,54.3,2
 3 Series,2014,Automatic,45140,Diesel,125,57.6,3
 3 Series,2016,Automatic,104720,Petrol,125,51.4,1.5
 4 Series,2016,Automatic,129590,Petrol,150,48.7,2
 2 Series,2016,Manual,36250,Diesel,30,64.2,2
 3 Series,2007,Automatic,83350,Petrol,325,31.4,3
 3 Series,2020,Automatic,12,Petrol,145,42.2,2
 3 Series,2019,Automatic,11512,Diesel,145,52.3,2
 1 Series,2019,Automatic,5444,Diesel,145,51.4,2
 3 Series,2020,Automatic,10,Petrol,145,40.4,2
 3 Series,2018,Automatic,16986,Diesel,145,64.2,2
 2 Series,2016,Manual,38811,Diesel,20,68.9,1.5
 5 Series,2016,Automatic,53689,Diesel,30,62.8,2
 2 Series,2014,Manual,37148,Diesel,30,62.8,2
 1 Series,2014,Manual,36672,Diesel,30,65.7,2
 X1,2016,Manual,30466,Diesel,20,68.9,2
 2 Series,2016,Automatic,68945,Diesel,20,68.9,1.5
 1 Series,2016,Manual,18706,Petrol,260,36.2,3
 3 Series,2012,Manual,75453,Diesel,30,62.8,2
 2 Series,2017,Manual,66410,Petrol,260,36.2,3
 5 Series,2014,Automatic,65520,Diesel,30,62.8,2
 3 Series,2014,Automatic,48760,Diesel,125,57.6,3
 1 Series,2014,Manual,102520,Diesel,30,62.8,2
 3 Series,2015,Automatic,107940,Diesel,145,56.5,3
 4 Series,2016,Automatic,117230,Diesel,30,65.7,2
 X3,2015,Manual,105320,Diesel,160,52.3,2
 1 Series,2016,Manual,101980,Diesel,20,68.9,2
 2 Series,2015,Manual,100230,Diesel,20,68.9,2
 4 Series,2015,Automatic,58900,Diesel,30,65.7,2
 3 Series,2015,Automatic,76720,Diesel,165,51.4,3
 1 Series,2018,Manual,22045,Petrol,150,53.3,1.5
 3 Series,2016,Automatic,70600,Diesel,30,70.6,2
 3 Series,2016,Automatic,56140,Hybrid,0,148.7,2
 5 Series,2016,Automatic,97930,Diesel,125,60.1,2
 2 Series,2016,Manual,83200,Diesel,30,64.2,2
 3 Series,2017,Manual,23608,Petrol,150,48.7,2
 1 Series,2013,Manual,61040,Petrol,205,42.8,2
 7 Series,2006,Automatic,81000,Diesel,325,34.4,3
 3 Series,2009,Manual,70000,Petrol,165,47.9,2
 1 Series,2014,Manual,25000,Diesel,0,74.3,1.6
 3 Series,2017,Automatic,40244,Diesel,30,64.2,2
 1 Series,2016,Manual,54156,Diesel,30,65.7,2
 1 Series,2018,Manual,17613,Petrol,145,37.7,1.5
 X1,2016,Manual,17531,Diesel,125,58.9,2
 3 Series,2017,Manual,108190,Diesel,30,62.8,2
 1 Series,2015,Automatic,52770,Petrol,145,48.7,1.6
 3 Series,2014,Manual,99920,Diesel,125,58.9,2
 3 Series,2016,Automatic,94810,Hybrid,0,134.5,2
 3 Series,2014,Manual,130340,Diesel,145,55.4,2
 5 Series,2016,Automatic,100170,Diesel,20,68.9,2
 3 Series,2016,Automatic,27500,Diesel,160,51.4,3
 3 Series,2014,Automatic,52117,Diesel,30,62.8,2
 3 Series,2015,Automatic,36816,Diesel,30,70.6,2
 3 Series,2009,Semi-Auto,110931,Diesel,160,51.4,2
 4 Series,2015,Manual,51611,Diesel,125,58.9,2
 7 Series,2014,Automatic,53329,Diesel,160,50.4,3
 X1,2017,Automatic,35779,Diesel,145,55.4,2
 3 Series,2015,Manual,71915,Diesel,20,68.9,2
 2 Series,2017,Automatic,13750,Diesel,145,62.8,2
 X1,2013,Manual,44013,Diesel,160,51.4,2
 3 Series,2015,Automatic,99530,Diesel,30,67.3,2
 3 Series,2016,Automatic,86060,Hybrid,0,134.5,2
 3 Series,2015,Manual,128850,Diesel,145,56.5,2
 X3,2016,Manual,72070,Diesel,160,52.3,2
 X3,2016,Automatic,81050,Diesel,150,54.3,2
 5 Series,2016,Manual,93240,Diesel,30,65.7,2
 1 Series,2015,Automatic,58620,Diesel,20,67.3,2
 3 Series,2010,Manual,156800,Diesel,125,58.9,2
 3 Series,2012,Automatic,67458,Diesel,30,62.8,2
 4 Series,2014,Automatic,44042,Diesel,125,57.7,2
 X1,2012,Automatic,82570,Diesel,150,56.5,2
 X3,2015,Automatic,77120,Diesel,150,54.3,2
 X5,2013,Automatic,52000,Diesel,200,45.6,3
 3 Series,2013,Manual,52757,Diesel,30,62.8,2
 3 Series,2017,Automatic,24658,Hybrid,0,134.5,2
 5 Series,2016,Automatic,35487,Diesel,30,65.7,2
 2 Series,2015,Automatic,32882,Diesel,125,60.1,0
 2 Series,2016,Manual,21985,Petrol,160,44.1,2
 5 Series,2013,Automatic,73876,Diesel,145,55.4,3
 1 Series,2016,Manual,33546,Diesel,0,83.1,1.5
 3 Series,2013,Manual,45883,Diesel,30,62.8,2
 3 Series,2016,Automatic,14867,Diesel,145,56.5,3
 5 Series,2014,Automatic,48280,Diesel,30,62.8,2
 1 Series,2015,Manual,27000,Diesel,0,78.5,1.5
 5 Series,2016,Automatic,49305,Diesel,20,68.9,2
 5 Series,2016,Automatic,36813,Diesel,20,68.9,2
 X1,2016,Manual,24984,Diesel,125,58.9,2
 X5,2018,Automatic,19750,Diesel,140,47.1,3
 3 Series,2007,Automatic,118000,Diesel,300,38.2,3
 2 Series,2016,Automatic,67170,Diesel,20,72.4,1.5
 3 Series,2015,Manual,40430,Diesel,145,56.5,2
 5 Series,2015,Automatic,74014,Diesel,30,62.8,2
 3 Series,2017,Automatic,29528,Diesel,145,64.2,2
 3 Series,2015,Manual,40814,Diesel,20,68.9,2
 4 Series,2016,Automatic,60018,Diesel,160,49.6,3
 4 Series,2016,Manual,32157,Petrol,200,42.8,2
 3 Series,2018,Automatic,13590,Diesel,150,64.2,2
 3 Series,2018,Automatic,24240,Diesel,150,64.2,0
 2 Series,2015,Automatic,64888,Diesel,20,68.9,2
 3 Series,2016,Manual,18520,Petrol,200,43.5,2
 1 Series,2015,Manual,54228,Diesel,0,83.1,1.5
 1 Series,2013,Manual,58149,Diesel,0,74.3,1.6
 5 Series,2017,Automatic,5336,Hybrid,135,156.9,2
 4 Series,2015,Manual,32423,Diesel,145,53.3,2
 5 Series,2017,Automatic,21319,Diesel,145,62.8,2
 5 Series,2014,Automatic,20741,Diesel,30,62.8,2
 1 Series,2015,Automatic,69758,Diesel,125,60.1,2
 2 Series,2017,Manual,18234,Petrol,145,52.3,1.5
 1 Series,2016,Manual,27636,Diesel,0,83.1,1.5
 3 Series,2011,Manual,112000,Diesel,30,62.8,2
 5 Series,2013,Automatic,86000,Diesel,160,51.4,2
 1 Series,2012,Manual,93000,Diesel,30,62.8,2
 1 Series,2017,Automatic,29000,Petrol,205,39.8,3
 5 Series,2014,Automatic,92000,Diesel,125,57.6,2
 1 Series,2013,Manual,50000,Petrol,145,49.6,1.6
 3 Series,2017,Automatic,54962,Diesel,145,74.3,2
 5 Series,2016,Automatic,45036,Petrol,160,44.8,2
 2 Series,2016,Manual,45930,Petrol,145,48.7,1.5
 X1,2016,Automatic,41571,Diesel,125,60.1,2
 4 Series,2016,Manual,45253,Diesel,30,67.3,2
 1 Series,2014,Manual,63169,Diesel,30,64.2,2
 3 Series,2017,Automatic,53347,Hybrid,0,148.7,2
 1 Series,2016,Manual,34933,Diesel,0,83.1,1.5
 1 Series,2013,Manual,48279,Petrol,145,50.4,1.6
 3 Series,2017,Automatic,52716,Diesel,145,70.6,2
 X3,2014,Automatic,47925,Diesel,160,50.4,2
 X3,2015,Automatic,24288,Diesel,145,54.3,2
 3 Series,2018,Automatic,10591,Diesel,145,67.3,2
 2 Series,2017,Automatic,16888,Petrol,145,51.4,1.5
 2 Series,2017,Automatic,46827,Hybrid,135,141.2,1.5
 X1,2013,Automatic,33412,Diesel,160,52.3,2
 4 Series,2015,Automatic,33689,Diesel,20,70.6,2
 1 Series,2016,Manual,29752,Diesel,20,70.6,1.5
 4 Series,2014,Automatic,32463,Petrol,200,43.5,2
 X1,2017,Manual,18097,Diesel,145,68.9,2
 3 Series,2016,Manual,42571,Diesel,125,58.9,2
 5 Series,2015,Automatic,93056,Diesel,20,68.9,2
 3 Series,2015,Automatic,46531,Diesel,125,61.4,2
 1 Series,2012,Manual,85827,Diesel,30,62.8,2
 1 Series,2017,Automatic,15361,Diesel,145,72.4,1.5
 X5,2017,Automatic,32812,Diesel,145,47.1,3
 1 Series,2018,Manual,23635,Diesel,145,72.4,1.5
 5 Series,2016,Manual,51780,Diesel,125,60.1,2
 2 Series,2015,Manual,54050,Diesel,20,74.3,1.5
 1 Series,2016,Manual,24441,Diesel,0,78.5,1.5
 3 Series,2015,Automatic,31047,Diesel,160,51.4,3
 1 Series,2014,Manual,53832,Petrol,300,35.3,3
 2 Series,2017,Automatic,29122,Petrol,125,51.4,1.5
 1 Series,2016,Manual,58305,Diesel,0,83.1,1.5
 3 Series,2014,Manual,94347,Diesel,30,65.7,2
 1 Series,2018,Manual,13094,Petrol,145,37.7,1.5
 1 Series,2015,Manual,50127,Diesel,125,57.6,2
 3 Series,2013,Manual,74947,Diesel,30,62.8,2
 2 Series,2017,Manual,28180,Petrol,125,53.3,1.5
 4 Series,2016,Automatic,16955,Diesel,145,53.3,3
 1 Series,2018,Automatic,30400,Petrol,145,39.8,3
 4 Series,2016,Automatic,64997,Diesel,145,55.4,3
 3 Series,2013,Automatic,43425,Diesel,125,57.6,3
 4 Series,2016,Manual,97706,Diesel,30,62.8,2
 3 Series,2016,Automatic,50318,Diesel,30,67.3,2
 3 Series,2015,Automatic,51126,Diesel,125,57.6,2
 4 Series,2015,Automatic,73150,Diesel,160,50.4,3
 3 Series,2017,Automatic,32185,Hybrid,135,134.5,2
 3 Series,2015,Automatic,80739,Diesel,30,62.8,2
 4 Series,2017,Automatic,25328,Diesel,145,50.4,3
 3 Series,2015,Automatic,91969,Diesel,20,68.9,2
 3 Series,2013,Manual,65001,Diesel,20,68.9,2
 3 Series,2017,Automatic,20771,Diesel,145,64.2,2
 1 Series,2014,Manual,66995,Diesel,30,65.7,2
 5 Series,2016,Automatic,72095,Diesel,30,62.8,2
 5 Series,2016,Automatic,71353,Diesel,145,56.5,2
 1 Series,2017,Automatic,27656,Diesel,145,72.4,1.5
 1 Series,2016,Manual,15066,Diesel,0,83.1,1.5
 3 Series,2014,Automatic,65033,Diesel,160,52.3,3
 5 Series,2014,Automatic,30749,Diesel,125,57.6,2
 2 Series,2016,Automatic,35159,Petrol,260,37.2,3
 X1,2014,Manual,26742,Diesel,160,51.4,2
 4 Series,2016,Manual,76280,Diesel,30,67.3,2
 1 Series,2012,Manual,71842,Diesel,30,62.8,2
 1 Series,2016,Manual,36007,Diesel,0,83.1,1.5
 X5,2016,Automatic,46720,Hybrid,0,85.6,2
 2 Series,2016,Automatic,20937,Petrol,125,51.4,1.5
 2 Series,2016,Manual,80051,Diesel,0,74.3,1.5
 1 Series,2015,Automatic,48916,Petrol,235,37.7,3
 1 Series,2017,Manual,23268,Diesel,0,78.5,1.5
 1 Series,2016,Manual,32690,Diesel,0,78.5,1.5
 3 Series,2016,Automatic,63679,Hybrid,0,134.5,2
 5 Series,2016,Automatic,64231,Diesel,145,53.3,3
 2 Series,2015,Manual,89569,Diesel,30,62.8,2
 2 Series,2017,Automatic,18455,Hybrid,135,135.5,1.5
 X1,2014,Automatic,46000,Diesel,160,52.3,2
 5 Series,2015,Automatic,79315,Diesel,30,62.8,2
 1 Series,2016,Manual,26146,Petrol,125,53.3,1.5
 1 Series,2019,Manual,7565,Petrol,145,53.3,1.5
 1 Series,2016,Manual,49782,Diesel,0,78.5,1.5
 1 Series,2014,Automatic,48343,Diesel,125,60.1,2
 1 Series,2015,Manual,56941,Diesel,0,83.1,1.5
 2 Series,2015,Automatic,65033,Diesel,20,68.9,2
 5 Series,2015,Automatic,92428,Diesel,30,62.8,2
 1 Series,2016,Manual,90868,Petrol,125,52.3,1.5
 X3,2017,Automatic,36204,Diesel,145,54.3,2
 3 Series,2014,Manual,66919,Diesel,125,57.6,2
 4 Series,2015,Manual,50452,Diesel,30,62.8,2
 1 Series,2016,Manual,47325,Diesel,0,83.1,1.5
 5 Series,2015,Automatic,29269,Diesel,20,68.9,2
 1 Series,2016,Manual,35898,Diesel,0,83.1,1.5
 1 Series,2015,Manual,35259,Diesel,0,83.1,1.5
 2 Series,2016,Manual,11448,Petrol,145,47.1,1.5
 5 Series,2016,Automatic,28774,Diesel,30,62.8,2
 3 Series,2016,Automatic,31499,Diesel,145,54.3,3
 4 Series,2017,Automatic,56292,Diesel,145,70.6,2
 1 Series,2014,Automatic,17408,Diesel,20,67.3,2
 1 Series,2019,Manual,10844,Petrol,145,53.3,1.5
 1 Series,2016,Manual,71381,Diesel,0,78.5,1.5
 1 Series,2015,Automatic,34267,Diesel,20,70.6,2
 3 Series,2010,Manual,96000,Diesel,30,62.8,2
 X1,2016,Automatic,22780,Petrol,160,44.8,2
 X1,2016,Automatic,35421,Diesel,145,55.4,2
 4 Series,2014,Manual,81978,Diesel,125,60.1,2
 3 Series,2013,Manual,64377,Diesel,20,68.9,2
 3 Series,2014,Automatic,44287,Diesel,20,68.9,2
 6 Series,2017,Automatic,28879,Petrol,145,31,4.4
 3 Series,2015,Automatic,35248,Diesel,30,64.2,2
 X5,2016,Automatic,62756,Diesel,200,47.1,3
 3 Series,2017,Automatic,15537,Diesel,30,64.2,2
 X5,2018,Automatic,9691,Petrol,150,25.4,4.4
 5 Series,2019,Automatic,205,Diesel,145,65.7,2
 3 Series,2019,Automatic,7935,Diesel,145,48.7,2
 4 Series,2017,Manual,27599,Diesel,150,62.8,2
 5 Series,2016,Automatic,29314,Diesel,165,51.4,3
 2 Series,2017,Manual,19837,Petrol,150,47.1,1.5
 X5,2018,Automatic,16933,Hybrid,140,85.6,2
 X5,2020,Automatic,5000,Diesel,145,37.7,3
 2 Series,2019,Automatic,2231,Petrol,145,50.4,2
 M4,2020,Automatic,10,Petrol,150,34,3
 M4,2020,Automatic,10,Petrol,150,34,3
 M4,2020,Automatic,10,Petrol,150,34,3
 3 Series,2016,Automatic,42102,Petrol,125,51.4,2
 M4,2020,Automatic,10,Petrol,150,34,3
 4 Series,2017,Automatic,23910,Petrol,145,41.5,3
 1 Series,2019,Automatic,7559,Petrol,145,55.5,1.5
 X3,2015,Automatic,21512,Diesel,145,54.3,2
 2 Series,2016,Manual,57417,Petrol,125,50.4,1.5
 1 Series,2013,Automatic,48491,Diesel,125,60.1,2
 5 Series,2012,Manual,77201,Diesel,30,62.8,2
 1 Series,2016,Automatic,38204,Diesel,0,78.5,1.5
 1 Series,2016,Manual,40313,Diesel,0,78.5,1.5
 1 Series,2015,Manual,48534,Diesel,20,72.4,1.5
 1 Series,2016,Manual,27681,Diesel,0,83.1,1.5
 X1,2016,Manual,27795,Diesel,20,68.9,2
 4 Series,2018,Automatic,21770,Petrol,145,41.5,3
 5 Series,2018,Automatic,40820,Petrol,145,39.2,3
 X3,2020,Automatic,5000,Diesel,145,54.3,2
 3 Series,2019,Automatic,4673,Diesel,145,48.7,2
 4 Series,2019,Automatic,5000,Diesel,145,65.7,2
 1 Series,2019,Automatic,3574,Petrol,145,40.4,1.5
 1 Series,2019,Automatic,6744,Petrol,145,40.4,1.5
 3 Series,2019,Automatic,5741,Diesel,145,48.7,2
 X5,2019,Automatic,6560,Petrol,145,27.2,3
 6 Series,2019,Automatic,3693,Diesel,145,47.9,3
 X5,2019,Automatic,6748,Petrol,145,27.2,3
 3 Series,2020,Automatic,5000,Petrol,145,34.9,3
 M4,2020,Automatic,5000,Petrol,145,34,3
 X1,2020,Manual,5000,Diesel,145,40.4,2
 3 Series,2016,Automatic,49477,Diesel,145,53.3,3
 3 Series,2017,Automatic,16730,Diesel,145,51.4,3
 2 Series,2016,Manual,23130,Petrol,145,47.1,1.5
 3 Series,2017,Manual,28772,Diesel,145,60.1,2
 1 Series,2016,Manual,41621,Diesel,30,65.7,2
 3 Series,2016,Automatic,32722,Hybrid,0,134.5,2
 X3,2019,Automatic,7765,Diesel,145,54.3,2
 3 Series,2018,Automatic,21276,Diesel,145,56.5,3
 X6,2019,Automatic,5000,Petrol,145,26.4,3
 5 Series,2017,Automatic,23500,Petrol,145,39.2,3
 1 Series,2016,Automatic,68949,Petrol,200,43.5,2
 2 Series,2016,Manual,57561,Diesel,30,67.3,1.5
 5 Series,2017,Automatic,34640,Diesel,145,60.1,3
 4 Series,2015,Manual,38974,Petrol,200,42.8,2
 X1,2016,Manual,58557,Diesel,20,68.9,2
 1 Series,2016,Manual,17084,Diesel,0,78.5,1.5
 3 Series,2016,Automatic,23157,Hybrid,0,134.5,2
 3 Series,2019,Automatic,6332,Diesel,145,54.3,2
 1 Series,2019,Automatic,5000,Petrol,145,34.5,2
 1 Series,2019,Automatic,5000,Diesel,145,51.4,2
 M4,2019,Automatic,5000,Petrol,145,34,3
 M5,2019,Automatic,2684,Petrol,145,24.1,4.4
 X2,2019,Automatic,9401,Diesel,145,58.9,2
 X7,2020,Automatic,5000,Diesel,145,33.6,3
 1 Series,2020,Automatic,5000,Petrol,145,40.4,1.5
 3 Series,2017,Automatic,24122,Diesel,145,51.4,3
 1 Series,2019,Automatic,7932,Petrol,145,47.9,2
 1 Series,2017,Manual,10417,Petrol,145,36.2,3
 3 Series,2017,Automatic,16074,Diesel,145,49.6,3
 M4,2018,Manual,9662,Petrol,145,31,3
 M4,2016,Semi-Auto,27817,Petrol,305,34,3
 Z4,2016,Manual,25921,Petrol,205,41.5,2
 3 Series,2017,Automatic,46567,Diesel,30,67.3,2
 X1,2017,Automatic,44775,Diesel,125,57.6,2
 3 Series,2018,Automatic,23288,Diesel,145,51.4,3
 X2,2019,Automatic,5599,Petrol,145,39.2,2
 2 Series,2020,Automatic,5000,Petrol,145,47.9,2
 4 Series,2016,Automatic,14613,Diesel,125,60.1,2
 X3,2011,Automatic,29670,Diesel,165,50.4,2
 1 Series,2014,Automatic,25975,Petrol,145,48.7,1.6
 1 Series,2016,Manual,36681,Diesel,0,83.1,1.5
 2 Series,2016,Manual,28895,Diesel,125,60.1,2
 2 Series,2020,Automatic,5000,Petrol,145,36.2,2
 X1,2016,Automatic,38635,Diesel,145,55.4,2
 2 Series,2020,Automatic,1221,Diesel,145,49.6,2
 2 Series,2017,Manual,85600,Petrol,145,55.4,1.5
 2 Series,2016,Manual,79460,Diesel,20,68.9,2
 3 Series,2015,Automatic,94590,Diesel,30,62.8,2
 1 Series,2016,Manual,20698,Diesel,0,78.5,1.5
 X5,2016,Automatic,48761,Diesel,235,42.8,3
 2 Series,2020,Automatic,5000,Diesel,145,48.7,2
 2 Series,2019,Automatic,2290,Petrol,145,46.3,2
 3 Series,2015,Automatic,105090,Diesel,30,62.8,2
 5 Series,2015,Automatic,101030,Diesel,20,68.9,2
 3 Series,2016,Automatic,51440,Diesel,165,49.6,3
 X1,2011,Automatic,70582,Diesel,200,45.6,2
 X1,2012,Manual,88706,Diesel,160,51.4,2
 6 Series,2006,Automatic,126054,Petrol,555,29.7,3
 3 Series,2015,Manual,92468,Diesel,20,68.9,2
 X3,2014,Manual,109450,Diesel,165,52.3,2
 5 Series,2016,Automatic,64470,Diesel,30,62.8,2
 2 Series,2015,Manual,71670,Diesel,20,68.9,2
 X1,2016,Manual,110710,Diesel,125,60.1,2
 2 Series,2016,Automatic,83280,Diesel,30,65.7,2
 X3,2017,Automatic,22800,Diesel,150,48.7,3
 M4,2020,Automatic,10,Petrol,150,34,3
 1 Series,2016,Automatic,25633,Diesel,30,65.7,2
 X1,2016,Manual,75220,Diesel,125,58.9,2
 X3,2014,Automatic,72430,Diesel,145,54.3,2
 4 Series,2014,Manual,141300,Diesel,125,58.9,2
 X3,2016,Automatic,73850,Diesel,200,47.9,3
 X3,2016,Automatic,110390,Diesel,145,54.3,2
 3 Series,2016,Automatic,70250,Hybrid,0,134.5,2
 5 Series,2014,Automatic,103230,Diesel,125,60.1,2
 2 Series,2015,Manual,92920,Diesel,20,68.9,2
 X3,2015,Automatic,126700,Diesel,150,54.3,2
 2 Series,2017,Automatic,88100,Hybrid,0,141.2,1.5
 5 Series,2015,Automatic,30310,Diesel,30,62.8,2
 X1,2016,Manual,71720,Diesel,20,68.9,2
 1 Series,2017,Manual,72120,Diesel,20,72.4,1.5
 X1,2017,Automatic,34959,Petrol,150,44.8,2
 3 Series,2017,Automatic,41741,Diesel,150,51.4,3
 3 Series,2014,Semi-Auto,64260,Diesel,165,52.3,3
 X1,2016,Automatic,50296,Diesel,145,55.4,2
 6 Series,2008,Automatic,94000,Diesel,305,39.2,3
 3 Series,2016,Automatic,100680,Diesel,125,60.1,2
 4 Series,2016,Automatic,100550,Diesel,125,58.9,2
 3 Series,2014,Manual,103260,Diesel,125,58.9,2
 3 Series,2016,Manual,101930,Diesel,20,72.4,2
 3 Series,2014,Manual,56300,Diesel,125,58.9,2
 X4,2014,Automatic,67210,Diesel,200,47.9,3
 1 Series,2017,Automatic,52810,Diesel,20,68.9,2
 1 Series,2016,Manual,98210,Diesel,30,65.7,2
 5 Series,2016,Automatic,124840,Diesel,30,62.8,2
 3 Series,2014,Automatic,155790,Diesel,145,54.3,3
 3 Series,2018,Manual,22000,Diesel,145,61.4,2
 Z3,2002,Automatic,16500,Petrol,325,29.4,2.2
 X1,2018,Automatic,2500,Petrol,150,46.3,1.5
 3 Series,2007,Manual,94000,Petrol,240,38.7,2
 X4,2015,Automatic,51536,Diesel,200,47.9,3
 3 Series,2011,Manual,51000,Diesel,125,60.1,2
 X1,2010,Manual,64000,Diesel,145,54.3,2
 1 Series,2009,Manual,120000,Diesel,30,62.8,2
 1 Series,2016,Manual,80103,Diesel,0,83.1,1.5
 3 Series,2012,Manual,41000,Petrol,200,42.8,2
 1 Series,2014,Manual,65106,Petrol,145,50.4,1.6
 5 Series,2014,Automatic,56000,Diesel,145,53.3,3
 M6,2006,Semi-Auto,89000,Petrol,570,19.1,5
 3 Series,2016,Automatic,74000,Diesel,30,64.2,2
 1 Series,2015,Manual,23460,Petrol,300,35.3,3
 1 Series,2017,Manual,6290,Petrol,145,36.2,3
 M3,2004,Manual,80000,Petrol,330,23.7,3.2
 1 Series,2017,Automatic,30139,Petrol,200,39.8,3
 X5,2016,Automatic,49880,Diesel,200,47.1,3
 X2,2019,Automatic,7893,Diesel,145,58.9,2
 1 Series,2019,Automatic,7488,Diesel,145,61.4,2
 3 Series,2017,Automatic,43000,Diesel,145,53.3,3
 Z4,2012,Manual,47800,Petrol,200,41.5,2
 5 Series,2013,Automatic,45464,Diesel,125,60.1,2
 M6,2014,Automatic,53249,Petrol,565,28.5,4.4
 5 Series,2019,Automatic,23000,Diesel,150,65.7,2
 3 Series,2015,Manual,48402,Diesel,30,62.8,2
 7 Series,2015,Automatic,65397,Diesel,160,49.6,3
 M4,2018,Automatic,9210,Petrol,145,34,3
 3 Series,2017,Automatic,85070,Hybrid,135,134.5,2
 X5,2015,Automatic,116130,Diesel,200,47.9,3
 1 Series,2006,Manual,88000,Petrol,260,37.7,1.6
 1 Series,2013,Manual,60000,Diesel,30,65.7,2
 3 Series,2009,Manual,80000,Petrol,160,45.6,2
 1 Series,2013,Manual,46057,Diesel,20,68.9,2
 3 Series,2012,Automatic,53333,Diesel,20,68.9,2
 3 Series,2015,Manual,52507,Diesel,125,57.6,2
 5 Series,2013,Automatic,57604,Diesel,150,55.4,3
 3 Series,2010,Manual,101104,Petrol,165,44.8,2
 1 Series,2014,Manual,77424,Diesel,30,65.7,2
 5 Series,2010,Automatic,85724,Diesel,200,46.3,3
 3 Series,2015,Automatic,83590,Diesel,30,62.8,2
 i3,2015,Automatic,79830,Hybrid,0,470.8,0
 4 Series,2015,Automatic,105730,Diesel,125,58.9,2
 4 Series,2017,Automatic,50390,Diesel,145,65.7,2
 1 Series,2014,Manual,94420,Diesel,30,65.7,2
 5 Series,2015,Automatic,91360,Diesel,30,62.8,2
 X1,2015,Manual,22580,Diesel,125,57.6,2
 3 Series,2017,Automatic,54590,Petrol,150,47.9,2
 5 Series,2012,Automatic,48417,Diesel,125,60.1,2
 3 Series,2012,Automatic,80000,Diesel,165,52.3,2
 1 Series,2013,Manual,62635,Diesel,30,64.2,2
 1 Series,2013,Manual,65000,Petrol,150,49.6,1.6
 1 Series,2013,Manual,60000,Diesel,30,65.7,1.6
 1 Series,2013,Manual,84000,Diesel,20,68.9,2
 3 Series,2014,Manual,70643,Diesel,30,62.8,2
 1 Series,2008,Manual,79000,Diesel,30,62.8,2
 1 Series,2014,Manual,73824,Diesel,30,65.7,2
 1 Series,2015,Manual,35000,Petrol,125,51.4,1.6
 3 Series,2009,Manual,70000,Petrol,165,47.9,2
 5 Series,2013,Manual,65000,Diesel,125,58.9,2
 5 Series,2011,Automatic,74000,Diesel,145,53.3,2
 1 Series,2012,Manual,60000,Petrol,145,49.6,1.6
 5 Series,2015,Automatic,82375,Diesel,20,68.9,2
 5 Series,2015,Manual,83643,Diesel,125,60.1,2
 3 Series,2012,Automatic,75000,Diesel,160,52.3,2
 4 Series,2014,Automatic,65000,Diesel,125,60.1,2
 3 Series,2005,Manual,55000,Diesel,160,50.4,2
 5 Series,2010,Manual,75000,Diesel,145,55.4,2
 5 Series,2014,Automatic,64221,Diesel,30,62.8,2
 3 Series,2013,Manual,76247,Diesel,30,61.4,2
 1 Series,2012,Manual,45000,Diesel,145,56.5,2
 3 Series,2008,Manual,130000,Petrol,155,46.3,2
 1 Series,2016,Manual,14668,Diesel,20,72.4,1.5
 1 Series,2018,Automatic,16475,Petrol,145,39.8,3
 2 Series,2016,Manual,49636,Petrol,125,53.3,1.5
 1 Series,2016,Manual,39779,Diesel,0,83.1,1.5
 6 Series,2014,Automatic,27782,Diesel,160,50.4,3
 4 Series,2015,Manual,44748,Diesel,145,53.3,2
 5 Series,2008,Automatic,61442,Petrol,260,37.7,2.5
 3 Series,2015,Manual,101215,Diesel,30,65.7,2
 X1,2016,Manual,47000,Diesel,20,68.9,2
 3 Series,2012,Manual,81000,Diesel,30,62.8,2
 5 Series,2008,Automatic,65000,Diesel,160,50.4,2
 6 Series,2010,Automatic,92642,Diesel,260,40.9,3
 X3,2013,Automatic,94853,Diesel,160,50.4,2
 X5,2012,Automatic,110394,Diesel,300,37.7,3
 1 Series,2008,Manual,89241,Petrol,200,42.8,2
 4 Series,2016,Automatic,52070,Diesel,30,65.7,2
 4 Series,2015,Automatic,19887,Diesel,30,64.2,2
