model,year,price,transmission,mileage,fuelType,tax,mpg,engineSize
 5 Series,2019,29480,Semi-Auto,1500,Petrol,145,50.4,2
 2 Series,2019,21980,Manual,101,Petrol,145,52.3,1.5
 Z4,2019,29980,Semi-Auto,1817,Petrol,145,38.7,2
 2 Series,2019,19480,Manual,152,Petrol,145,42.8,1.5
 5 Series,2019,36980,Automatic,3622,Diesel,145,53.3,3
 4 Series,2019,26480,Automatic,3146,Diesel,145,58.9,2
 2 Series,2019,21980,Automatic,4481,Diesel,145,67.3,2
 4 Series,2019,24480,Automatic,4429,Diesel,145,65.7,2
 3 Series,2019,25980,Semi-Auto,5084,Diesel,150,52.3,2
 X4,2018,25980,Semi-Auto,21694,Diesel,150,54.3,2
 X3,2019,31980,Semi-Auto,9305,Diesel,150,54.3,2
 X5,2019,51980,Semi-Auto,4484,Diesel,150,33.6,3
 3 Series,2019,25980,Semi-Auto,9666,Diesel,150,52.3,2
 3 Series,2019,26480,Semi-Auto,6018,Diesel,150,52.3,2
 1 Series,2019,22980,Semi-Auto,7729,Petrol,150,40.4,1.5
 5 Series,2018,27980,Semi-Auto,5100,Diesel,150,46.3,2
 2 Series,2019,20980,Semi-Auto,7532,Petrol,145,50.4,2
 2 Series,2019,21980,Semi-Auto,13844,Petrol,145,50.4,2
 3 Series,2019,22980,Semi-Auto,11571,Diesel,145,54.3,2
 X3,2019,31980,Semi-Auto,4609,Diesel,145,54.3,2
 2 Series,2019,20980,Manual,1000,Petrol,145,52.3,1.5
 3 Series,2018,18989,Automatic,23850,Diesel,145,60.1,2
 4 Series,2017,20489,Automatic,14393,Petrol,145,48.7,2
 3 Series,2018,17995,Semi-Auto,15588,Petrol,145,48.7,2
 4 Series,2016,17600,Automatic,20444,Diesel,30,65.7,2
 3 Series,2017,18730,Semi-Auto,23618,Diesel,145,62.8,2
 2 Series,2019,22480,Automatic,7107,Diesel,145,49.6,2
 2 Series,2019,21980,Automatic,7995,Diesel,145,65.7,2
 X5,2019,47980,Semi-Auto,11813,Diesel,145,37.7,3
 1 Series,2019,18480,Automatic,10164,Diesel,145,68.9,1.5
 3 Series,2019,20980,Semi-Auto,18000,Diesel,150,64.2,2
 1 Series,2017,13980,Manual,38120,Diesel,30,65.7,2
 1 Series,2018,23980,Semi-Auto,10812,Petrol,150,32.5,3
 1 Series,2016,14980,Semi-Auto,28000,Diesel,20,68.9,1.5
 X1,2014,9530,Manual,47262,Diesel,165,51.4,2
 X1,2016,22260,Semi-Auto,4622,Petrol,165,44.8,2
 2 Series,2015,10982,Manual,70000,Petrol,125,53.3,1.5
 5 Series,2019,26400,Semi-Auto,3457,Petrol,145,50.4,2
 X1,2019,24490,Manual,3728,Petrol,145,51.4,1.5
 1 Series,2018,13999,Manual,22492,Petrol,145,53.3,1.5
 3 Series,2016,11995,Semi-Auto,70486,Diesel,20,74.3,2
 X4,2017,24500,Semi-Auto,22768,Diesel,145,54.3,2
 3 Series,2015,12950,Manual,52338,Diesel,30,64.2,2
 3 Series,2017,19495,Semi-Auto,17735,Petrol,150,48.7,2
 1 Series,2019,17797,Manual,12266,Diesel,150,65.7,2
 3 Series,2018,18991,Semi-Auto,21941,Diesel,150,64.2,2
 3 Series,2016,14795,Automatic,42229,Diesel,20,74.3,2
 3 Series,2017,13495,Semi-Auto,44247,Diesel,145,67.3,2
 X1,2018,20980,Semi-Auto,29757,Diesel,150,60.1,2
 3 Series,2018,24980,Semi-Auto,6900,Diesel,150,51.4,3
 2 Series,2019,21980,Semi-Auto,8000,Diesel,150,65.7,2
 5 Series,2019,34980,Semi-Auto,9430,Diesel,150,53.3,3
 X5,2019,49980,Semi-Auto,9173,Diesel,150,37.7,3
 1 Series,2019,31993,Semi-Auto,6000,Petrol,145,34.5,2
 1 Series,2019,30123,Semi-Auto,7500,Petrol,145,34.5,2
 2 Series,2019,25490,Semi-Auto,7466,Diesel,145,65.7,2
 M4,2016,32983,Automatic,33113,Petrol,300,34,3
 4 Series,2015,14400,Automatic,63034,Diesel,30,65.7,2
 X1,2016,14200,Manual,51101,Diesel,125,60.1,2
 1 Series,2016,11182,Manual,22499,Petrol,125,53.3,1.5
 3 Series,2017,18900,Semi-Auto,28943,Hybrid,135,134.5,2
 4 Series,2016,18400,Automatic,17944,Diesel,30,65.7,2
 4 Series,2017,18991,Semi-Auto,31438,Diesel,145,58.9,2
 X1,2017,19000,Semi-Auto,33814,Diesel,145,57.7,2
 2 Series,2019,25000,Semi-Auto,1061,Diesel,145,48.7,2
 2 Series,2019,21490,Semi-Auto,3630,Diesel,145,51.4,2
 2 Series,2019,25250,Semi-Auto,2640,Diesel,145,48.7,2
 4 Series,2019,24970,Semi-Auto,101,Petrol,145,45.6,2
 X2,2019,27490,Semi-Auto,6036,Diesel,145,58.9,2
 3 Series,2019,27790,Semi-Auto,103,Petrol,145,42.2,2
 3 Series,2019,27790,Semi-Auto,103,Petrol,145,42.2,2
 X3,2019,31400,Semi-Auto,13191,Petrol,145,30.4,2
 X3,2019,31000,Semi-Auto,18720,Petrol,145,30.4,2
 X3,2019,31500,Semi-Auto,8438,Petrol,145,30.4,2
 3 Series,2018,25991,Semi-Auto,22620,Petrol,150,41.5,3
 X3,2019,31800,Semi-Auto,6724,Petrol,150,30.4,2
 5 Series,2019,25101,Semi-Auto,24143,Diesel,150,65.7,2
 3 Series,2018,19575,Manual,26841,Diesel,150,64.2,2
 4 Series,2019,26990,Semi-Auto,6188,Diesel,145,65.7,2
 4 Series,2019,37990,Semi-Auto,590,Diesel,145,47.9,3
 5 Series,2019,30490,Semi-Auto,5687,Hybrid,135,156.9,2
 X1,2019,25590,Semi-Auto,5354,Diesel,145,36.7,2
 X2,2019,26920,Semi-Auto,5060,Petrol,145,38.7,2
 M4,2019,41990,Semi-Auto,1348,Petrol,145,34,3
 X1,2013,8990,Manual,63000,Diesel,160,51.4,2
 4 Series,2020,38000,Semi-Auto,101,Diesel,150,49.6,3
 4 Series,2020,30403,Semi-Auto,2882,Petrol,145,41.5,3
 3 Series,2018,20000,Semi-Auto,28596,Diesel,145,62.8,2
 5 Series,2014,14790,Automatic,19503,Diesel,160,51.4,3
 X1,2013,9380,Manual,47485,Diesel,160,51.4,2
 4 Series,2017,18990,Automatic,23163,Diesel,30,65.7,2
 3 Series,2015,8190,Manual,92230,Diesel,30,65.7,2
 3 Series,2014,15291,Semi-Auto,54859,Diesel,160,52.3,3
 3 Series,2014,11474,Manual,53211,Diesel,30,61.4,2
 X3,2018,29357,Semi-Auto,12726,Diesel,150,54.3,2
 X1,2015,11141,Semi-Auto,64865,Diesel,165,52.3,2
 2 Series,2019,23250,Semi-Auto,4627,Diesel,145,48.7,2
 2 Series,2019,23250,Semi-Auto,4949,Diesel,145,48.7,2
 4 Series,2014,17750,Semi-Auto,39801,Diesel,160,50.4,3
 X3,2019,31000,Semi-Auto,17355,Petrol,145,30.4,2
 X7,2019,64400,Semi-Auto,3003,Diesel,145,33.6,3
 7 Series,2016,25750,Semi-Auto,34820,Diesel,145,54.3,3
 X1,2013,8990,Manual,63000,Diesel,160,51.4,2
 4 Series,2017,20604,Semi-Auto,13191,Diesel,145,65.7,2
 3 Series,2018,19125,Semi-Auto,23369,Diesel,145,64.2,2
 3 Series,2017,19116,Semi-Auto,51260,Diesel,150,53.3,3
 X4,2015,19990,Semi-Auto,60059,Diesel,150,54.3,2
 4 Series,2018,21991,Manual,11648,Petrol,150,43.5,2
 5 Series,2016,14550,Automatic,56320,Diesel,30,62.8,2
 3 Series,2017,16950,Semi-Auto,34110,Diesel,145,62.8,2
 5 Series,2015,17830,Semi-Auto,33910,Diesel,160,51.4,3
 3 Series,2017,23400,Automatic,17630,Diesel,145,49.6,3
 3 Series,2015,14930,Automatic,33330,Diesel,125,60.1,2
 3 Series,2016,17698,Semi-Auto,36764,Diesel,145,54.3,3
 X1,2017,19498,Semi-Auto,21346,Diesel,145,55.4,2
 5 Series,2020,35500,Semi-Auto,101,Diesel,145,53.3,3
 4 Series,2017,19000,Manual,19202,Diesel,145,60.1,2
 X5,2017,35470,Automatic,47717,Diesel,235,42.8,3
 2 Series,2015,14120,Semi-Auto,29599,Petrol,145,50.4,2
 1 Series,2019,23963,Manual,6317,Petrol,145,41.5,1.5
 7 Series,2019,51500,Semi-Auto,561,Diesel,145,42.2,3
 1 Series,2017,15980,Manual,17000,Diesel,145,65.7,2
 3 Series,2016,14980,Semi-Auto,41492,Diesel,30,67.3,2
 2 Series,2017,13980,Semi-Auto,27483,Petrol,30,55.4,1.5
 5 Series,2019,26650,Semi-Auto,9440,Diesel,145,65.7,2
 5 Series,2019,26650,Semi-Auto,7902,Diesel,145,65.7,2
 3 Series,2017,17141,Semi-Auto,30171,Diesel,145,64.2,2
 X3,2015,20491,Semi-Auto,51111,Diesel,205,47.1,3
 6 Series,2017,22991,Semi-Auto,23451,Diesel,200,49.6,3
 4 Series,2020,31503,Semi-Auto,1418,Diesel,145,50.4,3
 5 Series,2017,19000,Semi-Auto,48457,Diesel,145,68.9,2
 4 Series,2019,28480,Semi-Auto,7384,Diesel,145,51.4,3
 2 Series,2019,21980,Manual,9326,Diesel,145,60.1,2
 2 Series,2020,21480,Semi-Auto,10,Diesel,145,53.3,2
 X1,2019,22450,Manual,5455,Petrol,150,39.8,1.5
 4 Series,2017,17490,Semi-Auto,35519,Diesel,30,65.7,2
 M4,2016,29990,Semi-Auto,30241,Petrol,300,34,3
 3 Series,2019,26950,Semi-Auto,4320,Petrol,145,42.2,2
 X3,2018,31500,Semi-Auto,35332,Petrol,145,34.5,3
 M4,2016,32998,Semi-Auto,23212,Petrol,300,34,3
 X1,2017,13500,Manual,50435,Diesel,20,68.9,2
 X5,2017,37498,Automatic,24498,Petrol,145,29.1,4.4
 3 Series,2017,20998,Automatic,16678,Diesel,145,56.5,3
 2 Series,2017,16498,Semi-Auto,2210,Petrol,150,55.4,1.5
 3 Series,2017,12998,Semi-Auto,62576,Diesel,20,70.6,2
 2 Series,2016,8498,Manual,83850,Diesel,0,74.3,1.5
 2 Series,2018,19980,Semi-Auto,9933,Petrol,145,38.2,2
 2 Series,2019,22980,Semi-Auto,2083,Petrol,145,50.4,2
 2 Series,2019,23780,Semi-Auto,1223,Diesel,145,49.6,2
 1 Series,2019,21980,Manual,2841,Petrol,145,44.1,1.5
 X2,2019,28500,Semi-Auto,2370,Diesel,145,48.7,2
 X5,2019,50980,Automatic,5720,Diesel,145,37.7,3
 1 Series,2019,20440,Semi-Auto,9908,Petrol,150,47.9,2
 1 Series,2019,18440,Manual,6088,Petrol,150,52.3,1.5
 3 Series,2019,27440,Semi-Auto,4665,Diesel,150,52.3,2
 7 Series,2019,44980,Semi-Auto,10135,Petrol,150,34.5,3
 3 Series,2019,28440,Semi-Auto,2212,Diesel,150,48.7,2
 8 Series,2019,53980,Semi-Auto,2395,Petrol,145,33.2,3
 X1,2020,28940,Semi-Auto,1550,Diesel,145,53.3,2
 4 Series,2019,24250,Semi-Auto,10125,Diesel,145,58.9,2
 3 Series,2018,21800,Semi-Auto,7673,Petrol,145,48.7,2
 X2,2019,28750,Semi-Auto,1914,Petrol,145,39.8,2
 5 Series,2018,22490,Semi-Auto,10799,Diesel,145,72.4,2
 3 Series,2019,29250,Semi-Auto,8190,Diesel,145,48.7,2
 3 Series,2019,21400,Semi-Auto,16086,Petrol,145,48.7,2
 3 Series,2019,23480,Semi-Auto,4394,Diesel,150,53.3,2
 2 Series,2020,21950,Semi-Auto,15,Petrol,150,50.4,2
 2 Series,2020,20480,Semi-Auto,10,Petrol,150,42.2,1.5
 4 Series,2019,25440,Semi-Auto,101,Diesel,145,65.7,2
 2 Series,2019,21950,Semi-Auto,101,Diesel,145,67.3,2
 X3,2019,36440,Semi-Auto,105,Diesel,145,54.3,2
 3 Series,2017,19980,Semi-Auto,15762,Diesel,145,53.3,3
 2 Series,2019,17980,Manual,7168,Petrol,145,52.3,1.5
 1 Series,2016,12980,Manual,27696,Diesel,30,65.7,2
 3 Series,2019,20440,Semi-Auto,6108,Petrol,145,51.4,1.5
 1 Series,2019,17980,Manual,5869,Diesel,145,70.6,1.5
 4 Series,2019,23850,Semi-Auto,7937,Diesel,145,65.7,2
 3 Series,2019,27940,Semi-Auto,6865,Diesel,145,52.3,2
 1 Series,2019,18440,Semi-Auto,4512,Diesel,145,68.9,1.5
 3 Series,2019,25940,Semi-Auto,5915,Diesel,145,53.3,2
 3 Series,2019,29440,Semi-Auto,7983,Diesel,145,48.7,2
 X5,2019,46440,Semi-Auto,1486,Diesel,145,37.7,3
 Z4,2019,27950,Semi-Auto,8998,Petrol,145,38.7,2
 X3,2019,30480,Automatic,5822,Petrol,145,30.4,2
 2 Series,2017,15998,Manual,15926,Diesel,150,62.8,1.5
 X3,2018,29498,Semi-Auto,23206,Diesel,150,48.7,3
 4 Series,2019,27480,Semi-Auto,101,Diesel,145,55.4,3
 i8,2019,64750,Automatic,2799,Hybrid,135,141.2,1.5
 8 Series,2019,59000,Semi-Auto,5923,Diesel,150,39.8,3
 M2,2019,42351,Semi-Auto,1797,Petrol,145,29.1,3
 i3,2017,18500,Automatic,36429,Hybrid,0,470.8,0
 4 Series,2016,17561,Semi-Auto,46435,Diesel,145,55.4,3
 2 Series,2018,17750,Semi-Auto,16712,Diesel,145,62.8,2
 M4,2018,35750,Semi-Auto,8326,Petrol,145,34,3
 X7,2019,66000,Semi-Auto,2881,Diesel,145,33.6,3
 X1,2016,19498,Semi-Auto,21249,Diesel,145,55.4,2
 X1,2015,16998,Semi-Auto,25649,Diesel,125,57.6,2
 3 Series,2016,18698,Semi-Auto,21500,Diesel,145,54.3,3
 1 Series,2016,19798,Semi-Auto,24485,Petrol,200,39.8,3
 X3,2016,21798,Semi-Auto,29512,Diesel,145,54.3,2
 2 Series,2019,21980,Semi-Auto,4170,Petrol,145,50.4,2
 1 Series,2019,20980,Manual,4092,Petrol,145,44.1,1.5
 X3,2019,31980,Semi-Auto,4647,Diesel,145,54.3,2
 1 Series,2019,18980,Semi-Auto,17950,Diesel,150,67.3,2
 X1,2018,22780,Semi-Auto,10147,Diesel,150,60.1,2
 1 Series,2017,20480,Semi-Auto,34218,Petrol,205,39.8,3
 4 Series,2016,23780,Semi-Auto,24441,Diesel,165,50.4,3
 X1,2017,21480,Semi-Auto,11857,Diesel,150,55.4,2
 1 Series,2017,13990,Manual,34249,Petrol,150,53.3,1.5
 1 Series,2017,15490,Manual,32811,Diesel,150,65.7,2
 X1,2019,28480,Semi-Auto,1805,Diesel,145,52.3,2
 4 Series,2019,23440,Semi-Auto,23,Diesel,145,65.7,2
 5 Series,2019,27440,Semi-Auto,5682,Diesel,145,62.8,2
 5 Series,2019,27440,Semi-Auto,9131,Diesel,145,62.8,2
 X3,2019,39480,Semi-Auto,6012,Petrol,145,34.5,3
 5 Series,2017,18990,Semi-Auto,46796,Diesel,145,62.8,2
 1 Series,2018,19840,Semi-Auto,32151,Diesel,145,61.4,2
 2 Series,2018,24940,Semi-Auto,5577,Petrol,145,32.5,3
 M4,2019,44980,Semi-Auto,9244,Petrol,145,32.5,3
 1 Series,2015,12980,Manual,47863,Diesel,30,62.8,2
 4 Series,2019,31480,Automatic,6822,Diesel,145,50.4,3
 M4,2020,49980,Semi-Auto,1000,Petrol,145,34,3
 X2,2020,32980,Semi-Auto,1500,Diesel,145,61.4,2
 4 Series,2020,34980,Semi-Auto,1000,Petrol,145,48.7,2
 1 Series,2019,19480,Manual,4707,Diesel,145,65.7,2
 1 Series,2018,17480,Manual,13455,Petrol,145,52.3,1.5
 Z4,2015,15980,Semi-Auto,39887,Petrol,200,41.5,2
 2 Series,2019,21980,Semi-Auto,1000,Petrol,145,50.4,1.5
 X2,2020,37480,Semi-Auto,1000,Petrol,145,34,2
 4 Series,2016,17980,Semi-Auto,32863,Petrol,160,46.3,2
 X3,2019,54980,Semi-Auto,1525,Petrol,145,24.8,3
 3 Series,2019,25480,Semi-Auto,5673,Diesel,145,57.7,2
 1 Series,2019,20780,Automatic,8936,Diesel,145,65.7,2
 2 Series,2019,21980,Semi-Auto,4887,Diesel,145,65.7,2
 2 Series,2015,15980,Semi-Auto,41532,Diesel,125,61.4,2
 X3,2019,33480,Automatic,8345,Diesel,145,54.3,2
 4 Series,2019,25980,Semi-Auto,2946,Diesel,145,65.7,2
 2 Series,2019,20980,Manual,1000,Petrol,145,52.3,1.5
 2 Series,2019,20980,Manual,1000,Petrol,145,52.3,1.5
 2 Series,2019,20980,Manual,1000,Petrol,145,52.3,1.5
 2 Series,2019,20980,Manual,1000,Petrol,145,52.3,1.5
 2 Series,2019,20980,Manual,1000,Petrol,145,52.3,1.5
 3 Series,2019,26980,Semi-Auto,9554,Diesel,145,56.5,3
 1 Series,2017,22480,Semi-Auto,24552,Petrol,145,39.8,3
 1 Series,2017,15980,Manual,22022,Petrol,145,47.1,2
 5 Series,2019,25980,Semi-Auto,9630,Petrol,145,50.4,2
 2 Series,2019,21980,Semi-Auto,5547,Petrol,145,50.4,2
 5 Series,2019,32480,Semi-Auto,5612,Diesel,145,60.1,3
 3 Series,2019,25980,Manual,3512,Diesel,145,54.3,2
 2 Series,2019,19980,Manual,3459,Petrol,145,42.2,1.5
 X2,2019,24980,Manual,3189,Diesel,145,48.7,2
 X5,2019,49980,Automatic,4076,Diesel,145,37.7,3
 3 Series,2019,25980,Manual,4903,Diesel,145,54.3,2
 1 Series,2019,28980,Automatic,3855,Diesel,145,48.7,2
 3 Series,2019,33570,Automatic,4253,Diesel,145,47.9,3
 2 Series,2019,20980,Semi-Auto,7153,Petrol,145,50.4,1.5
 X5,2019,49980,Automatic,3080,Diesel,145,37.7,3
 3 Series,2019,33580,Automatic,2856,Diesel,145,47.9,3
 3 Series,2019,33480,Automatic,1000,Diesel,145,50.4,2
 2 Series,2019,24980,Semi-Auto,2290,Petrol,145,47.9,2
 1 Series,2019,22480,Manual,100,Petrol,145,44.1,1.5
 4 Series,2019,28980,Automatic,6558,Diesel,145,53.3,3
 1 Series,2019,17480,Semi-Auto,3583,Petrol,145,55.5,1.5
 2 Series,2018,17480,Manual,13107,Petrol,145,52.3,1.5
 X6,2018,36480,Automatic,9135,Diesel,145,47.1,3
 X5,2019,49980,Automatic,4810,Diesel,145,37.7,3
 M4,2019,40980,Semi-Auto,4786,Petrol,145,34,3
 3 Series,2019,28998,Semi-Auto,5568,Petrol,150,42.2,2
 X3,2017,21998,Semi-Auto,35734,Diesel,150,54.3,2
 X1,2017,18995,Semi-Auto,29647,Diesel,145,57.7,2
 X5,2019,50980,Semi-Auto,13863,Diesel,145,37.7,3
 X5,2019,49980,Automatic,6277,Diesel,145,37.7,3
 3 Series,2017,18780,Semi-Auto,42359,Diesel,150,64.2,2
 X5,2019,49980,Semi-Auto,5881,Diesel,150,37.7,3
 3 Series,2018,18990,Semi-Auto,17282,Diesel,150,64.2,2
 M5,2019,62980,Semi-Auto,3256,Petrol,145,26.9,4.4
 2 Series,2019,27980,Semi-Auto,4859,Diesel,145,64.2,2
 4 Series,2019,34680,Automatic,3428,Diesel,145,49.6,3
 5 Series,2019,32780,Automatic,3774,Diesel,145,65.7,2
 5 Series,2019,30980,Automatic,2386,Diesel,145,65.7,2
 3 Series,2019,23980,Semi-Auto,1000,Diesel,145,62.8,2
 X5,2019,49980,Automatic,3981,Diesel,145,37.7,3
 2 Series,2019,19980,Semi-Auto,3602,Diesel,145,52.3,2
 X1,2019,24680,Manual,1000,Diesel,145,68.9,2
 X5,2020,61980,Semi-Auto,3968,Diesel,145,33.6,3
 Z4,2020,31980,Semi-Auto,1000,Petrol,145,38.7,2
 X1,2019,23980,Manual,4649,Diesel,145,68.9,2
 X1,2019,29480,Automatic,4523,Diesel,145,36.7,2
 X1,2019,28780,Manual,1000,Diesel,145,48.7,2
 X5,2019,49980,Semi-Auto,8143,Diesel,150,37.7,3
 2 Series,2019,20780,Manual,2896,Petrol,150,52.3,1.5
 2 Series,2019,20980,Semi-Auto,3334,Petrol,145,50.4,1.5
 8 Series,2019,55980,Automatic,10000,Diesel,145,40.4,3
 1 Series,2018,14980,Semi-Auto,22368,Petrol,145,55.5,1.5
 X3,2015,18980,Semi-Auto,33122,Diesel,205,47.9,3
 1 Series,2019,25980,Semi-Auto,100,Diesel,145,51.4,2
 X3,2018,37780,Semi-Auto,16509,Petrol,150,34.5,3
 3 Series,2015,13260,Automatic,69820,Petrol,145,48.7,2
 5 Series,2016,14470,Semi-Auto,51030,Diesel,30,62.8,2
 1 Series,2018,14499,Manual,19947,Petrol,145,53.3,1.5
 3 Series,2016,14999,Automatic,70054,Hybrid,0,148.7,2
 X1,2014,12999,Automatic,41200,Diesel,160,52.3,2
 5 Series,2017,23999,Automatic,28628,Diesel,145,65.7,2
 2 Series,2017,18999,Semi-Auto,25244,Diesel,145,65.7,2
 7 Series,2017,29999,Automatic,36500,Diesel,145,57.6,3
 1 Series,2018,15499,Manual,20814,Petrol,145,53.3,1.5
 4 Series,2017,18241,Automatic,29322,Diesel,145,60.1,2
 2 Series,2019,20780,Semi-Auto,105,Petrol,145,50.4,1.5
 5 Series,2019,29840,Semi-Auto,101,Diesel,145,62.8,2
 5 Series,2019,31480,Semi-Auto,105,Petrol,145,48.7,2
 3 Series,2019,30980,Semi-Auto,105,Diesel,145,52.3,2
 X1,2016,18795,Manual,12370,Diesel,125,58.9,2
 X5,2019,53795,Semi-Auto,4792,Diesel,145,37.7,3
 X2,2019,36995,Semi-Auto,6523,Petrol,145,34,2
 3 Series,2019,27440,Semi-Auto,1700,Diesel,145,52.3,2
 4 Series,2019,26940,Semi-Auto,101,Diesel,145,65.7,2
 3 Series,2019,30480,Semi-Auto,4609,Diesel,145,49.6,2
 X3,2019,36440,Semi-Auto,105,Diesel,145,54.3,2
 X2,2019,25840,Semi-Auto,105,Diesel,145,50.4,2
 2 Series,2019,17980,Manual,1501,Diesel,145,55.4,2
 2 Series,2020,26495,Semi-Auto,10,Petrol,145,40.9,1.5
 3 Series,2020,36995,Semi-Auto,1523,Diesel,145,50.4,2
 X1,2017,19995,Semi-Auto,40779,Diesel,145,55.4,2
 5 Series,2016,17995,Semi-Auto,19154,Petrol,145,47.1,2
 X1,2019,24725,Manual,20,Petrol,145,52.3,1.5
 3 Series,2019,29995,Semi-Auto,1798,Petrol,145,42.2,2
 X1,2019,28995,Automatic,4237,Diesel,145,36.7,2
 3 Series,2019,35995,Automatic,3306,Diesel,145,49.6,2
 2 Series,2019,24995,Automatic,29,Diesel,145,51.4,2
 1 Series,2019,23995,Semi-Auto,1527,Petrol,145,43.5,1.5
 5 Series,2013,10780,Semi-Auto,84842,Diesel,145,55.4,2
 1 Series,2015,10890,Semi-Auto,39157,Diesel,20,72.4,1.5
 3 Series,2018,19495,Manual,30815,Diesel,145,64.2,2
 Z4,2019,32995,Automatic,11,Petrol,145,38.7,2
 4 Series,2019,27940,Automatic,7102,Diesel,145,58.9,2
 X1,2019,32495,Automatic,6,Diesel,145,52.3,2
 X1,2019,28995,Semi-Auto,202,Diesel,150,60.1,2
 X3,2019,31995,Semi-Auto,4899,Petrol,145,30.4,2
 5 Series,2019,30001,Semi-Auto,13000,Hybrid,140,156.9,2
 X3,2017,26001,Semi-Auto,21000,Diesel,145,54.3,2
 3 Series,2013,11001,Manual,61000,Diesel,125,58.9,2
 3 Series,2016,15701,Semi-Auto,59737,Diesel,145,53.3,3
 3 Series,2015,14001,Semi-Auto,44237,Diesel,125,57.6,2
 1 Series,2013,8999,Manual,31128,Diesel,30,62.8,2
 2 Series,2020,32995,Semi-Auto,10,Petrol,145,36.2,2
 3 Series,2019,29995,Automatic,5611,Diesel,145,52.3,2
 5 Series,2016,14950,Automatic,49650,Diesel,30,62.8,2
 5 Series,2016,16310,Semi-Auto,47640,Diesel,160,51.4,3
 2 Series,2016,13300,Semi-Auto,45030,Diesel,30,67.3,2
 3 Series,2017,18690,Automatic,40097,Diesel,145,64.2,2
 4 Series,2017,23000,Automatic,13940,Diesel,145,49.6,3
 3 Series,2017,20340,Semi-Auto,34390,Diesel,160,51.4,3
 4 Series,2017,17420,Semi-Auto,47470,Diesel,125,60.1,2
 4 Series,2016,13090,Semi-Auto,59907,Diesel,30,65.7,2
 6 Series,2015,19990,Semi-Auto,40500,Diesel,165,49.6,3
 3 Series,2015,11990,Manual,78053,Petrol,160,44.8,2
 3 Series,2016,12495,Semi-Auto,63162,Diesel,0,74.3,2
 X5,2016,23937,Automatic,74141,Diesel,200,47.1,3
 3 Series,2017,18341,Semi-Auto,51260,Diesel,150,53.3,3
 3 Series,2016,17547,Automatic,13969,Hybrid,0,134.5,2
 1 Series,2015,11721,Manual,40057,Diesel,30,65.7,2
 1 Series,2017,15997,Automatic,21285,Diesel,30,65.7,2
 2 Series,2018,18291,Semi-Auto,10028,Petrol,145,47.9,2
 X5,2017,32991,Automatic,16893,Diesel,145,47.1,3
 1 Series,2015,8650,Manual,75638,Petrol,145,50.4,1.6
 1 Series,2015,9981,Manual,71119,Diesel,30,62.8,2
 1 Series,2013,11741,Semi-Auto,57000,Diesel,125,60.1,2
 3 Series,2016,15491,Semi-Auto,42328,Diesel,30,62.8,2
 X6,2019,52995,Semi-Auto,3455,Diesel,150,34.9,3
 5 Series,2019,25450,Automatic,11525,Petrol,145,50.4,2
 2 Series,2016,14880,Manual,29370,Petrol,125,53.3,1.5
 3 Series,2016,17110,Semi-Auto,16923,Diesel,125,60.1,2
 5 Series,2016,12290,Manual,65747,Diesel,125,58.9,2
 3 Series,2014,15690,Semi-Auto,45212,Diesel,150,54.3,3
 5 Series,2015,14000,Semi-Auto,52281,Diesel,30,62.8,2
 X3,2018,26995,Semi-Auto,15000,Petrol,145,30.4,2
 1 Series,2018,14495,Manual,24000,Petrol,145,53.3,1.5
 i3,2017,19495,Automatic,17338,Hybrid,135,470.8,0
 X1,2019,25995,Manual,1501,Petrol,150,51.4,1.5
 3 Series,2020,30995,Semi-Auto,3872,Petrol,150,42.2,2
 M4,2019,53995,Semi-Auto,3452,Petrol,150,34,3
 3 Series,2019,29990,Manual,16,Diesel,150,54.3,2
 2 Series,2016,14995,Semi-Auto,12662,Petrol,125,50.4,2
 1 Series,2018,24995,Semi-Auto,12386,Petrol,150,39.8,3
 2 Series,2016,18995,Semi-Auto,29707,Petrol,205,43.5,2
 X3,2015,16998,Semi-Auto,71194,Diesel,150,54.3,2
 i3,2015,17481,Automatic,9886,Hybrid,0,470.8,0
 3 Series,2013,11211,Semi-Auto,88400,Diesel,125,58.9,2
 3 Series,2015,17491,Semi-Auto,44700,Petrol,265,37.2,3
 X3,2019,31840,Semi-Auto,5687,Diesel,145,54.3,2
 1 Series,2019,23940,Manual,101,Petrol,145,41.5,1.5
 5 Series,2019,28650,Semi-Auto,105,Diesel,145,60.1,2
 2 Series,2020,22980,Semi-Auto,1550,Petrol,145,38.7,1.5
 X5,2020,51880,Semi-Auto,1501,Diesel,145,37.7,3
 3 Series,2020,32940,Semi-Auto,1550,Diesel,145,50.4,2
 X3,2017,21480,Semi-Auto,34824,Diesel,145,54.3,2
 2 Series,2019,19970,Manual,5076,Petrol,145,52.3,1.5
 1 Series,2016,10016,Manual,45919,Petrol,125,53.3,1.5
 3 Series,2014,12317,Automatic,49998,Diesel,145,57.6,2
 X3,2014,13350,Automatic,60850,Diesel,160,50.4,2
 1 Series,2016,13457,Automatic,36670,Diesel,20,68.9,1.5
 1 Series,2017,19260,Semi-Auto,29997,Petrol,200,39.8,3
 3 Series,2013,7991,Manual,75000,Diesel,20,68.9,2
 3 Series,2014,8991,Semi-Auto,81641,Diesel,20,68.9,2
 3 Series,2014,13891,Semi-Auto,28173,Diesel,125,58.9,2
 3 Series,2017,17980,Semi-Auto,32181,Diesel,150,57.6,2
